,Song ID,Song Name,Artist,Link to Trend Page,Number of Videos with Song (in Thousands)
0,6808287098886424577,Then Leave (feat. Queendom Come),BeatKing,/music/Then-Leave-feat-Queendom-Come-6808287098886424577,1100.0
1,6808287098886424577,Then Leave (feat. Queendom Come),BeatKing,/music/Then-Leave-feat-Queendom-Come-6808287098886424577,1100.0
2,6813134956269947654,Stunnin' (feat. Harm Franklin),Curtis Waters,/music/Stunnin-feat-Harm-Franklin-6813134956269947654,1100.0
3,6813134956269947654,Stunnin' (feat. Harm Franklin),Curtis Waters,/music/Stunnin-feat-Harm-Franklin-6813134956269947654,1100.0
4,6812545347835922434,Hood Baby,Kbfr,/music/Hood-Baby-6812545347835922434,2900.0
5,6807966889273346822,Dream Girl,Ir Sais,/music/Dream-Girl-6807966889273346822,13500.0
6,6827517892439968517,Do It,Chloe x Halle,/music/Do-It-6827517892439968517,468.3
7,6834110584288447237,Savage Love (Laxed - Siren Beat),Jawsh 685 & Jason Derulo,/music/Savage-Love-Laxed-Siren-Beat-6834110584288447237,785.0
8,6754420279457565445,Mr. Blue Sky,Electric Light Orchestra,/music/Mr-Blue-Sky-6754420279457565445,546.8
9,6746993352891189249,Monkeys Spinning Monkeys,Kevin MacLeod,/music/Monkeys-Spinning-Monkeys-6746993352891189249,9900.0
10,6691366574592396038,Woah (feat. D3Mstreet),KRYPTO9095,/music/Woah-feat-D3Mstreet-6691366574592396038,12400.0
